㮸	soŋ˥$
建	ʨie˦˦˥$
开	kʰɛ˥˧$
弃	ʨʰi˩˧$
弄	loŋ˩˧$
弋	jiəʔ˨$
式	səʔ˥$
弓	koŋ˥˧$
引	jiən˩˧$
弗	fəʔ˥$
弘	hoŋ˥˧$
弟	di˩˧$
张	ʦã˥˧$
弥	mi˧˩$
弦	jie˧˩$
弯	uɛ˥˧$
弱	zaʔ˨$
張	ʦã˥˧$
強	ʥiã˧˩$
弹	dɛ˧˩$
强	ʥiã˧˩$
弼	biəʔ˨$
彀	kəɯ˦˦˥$
彈	dɛ˧˩$
彌	mi˧˩$
彎	uɛ˥˧$
归	kue˥˧$
当	tɑ̃˦˦˥$
录	loʔ˨$
彗	ɦue˩˧$
形	jiən˧˩$
彩	ʦʰɛ˥$
彬	piən˥˧$
影	iən˥$
彷	fɑ̃˥$
役	jioʔ˨$
彻	ʦʰəʔ˥$
彼	pe˥$
征	ʦən˥˧$
待	dɛ˩˧$
很	hən˥$
律	liəʔ˨$
後	ɦəɯ$
徒	du˧˩$
得	təʔ˥$
從	zoŋ˧˩$
御	ȵy˩˧$
循	ziən˧˩$
微	vi˧˩$
徹	ʦʰəʔ˥$
徽	hue˥˧$
心	siən˥˧$
必	piəʔ˥$
忌	ʥi˩˧$
忍	zən˩˧$
忏	ʦʰɛ˩˧$
忒	tʰəʔ˥$
忖	ʦʰən˩˧$
志	ʦɿ˦˦˥$
忘	mɑ̃˩˧$
忙	mɑ̃˧˩$
忝	tʰie˩˧$
忠	ʦoŋ˥˧$
忧	iəɯ˥˧$
