㞘底	toʔ˥ ti˥˧
並	bin˩˧
並排並坐	bin˩˧ bɛ˧˩ bin˩˧ ʣo˩˧
丧	sɑŋ˧
丧事	sɑŋ˧ zɿ˧
丧幛	sɑŋ˧ ʦɑŋ˧
个	koʔ˥
丫	iɑ˧
丫头	ʔiɑ˧ dei
丫头辫儿	ʔiɑ˧ dei biɛ̃˩˧ əl˥˧
丫頭	ʔiɑ˧ dei
丫頭辮兒	ʔiɑ˧ dei biɛ̃˩˧ əl˥˧
中	ʦoŋ˧
中人	ʦoŋ˧ zen˧
中巴車	ʦoŋ˧ pɑ˧ ʦʰʮei˧
中巴车	ʦoŋ˧ pɑ˧ ʦʰʮei˧
中气	ʦoŋ˧ ʨʰi˧
中氣	ʦoŋ˧ ʨʰi˧
中灰	ʦoŋ˧ hui˧
中装	ʦoŋ˧ ʦʮɑŋ˧
中裝	ʦoŋ˧ ʦʮɑŋ˧
中風	ʦoŋ˥ foŋ˧
